battle,country,numbers,start,end,front,duration,rate
Battle_of_Li%C3%A8ge,Belgium,20000,8/5/1914,8/16/1914,Western,12,1666.666667
Battle_of_the_Frontiers,Belgium,4500,8/7/1914,9/13/1914,Western,38,118.4210526
Battle_of_the_Yser,Belgium,18500,10/16/1914,10/31/1914,Western,16,1156.25
First_Battle_of_Ypres,Belgium,22000,10/19/1914,11/22/1914,Western,35,628.5714286
Siege_of_Namur_(1914),Belgium,15000,8/20/1914,8/25/1914,Western,6,2500
Battle_of_the_Frontiers,Britain,29600,8/7/1914,9/13/1914,Western,38,778.9473684
First_Battle_of_the_Marne,Britain,35000,9/5/1914,9/12/1914,Western,8,4375
First_Battle_of_the_Aisne,France,7000,9/13/1914,9/28/1914,Western,16,437.5
First_Battle_of_the_Aisne,Britain,13500,9/13/1914,9/28/1914,Western,16,843.75
First_Battle_of_Ypres,Britain,56000,10/19/1914,11/22/1914,Western,35,1600
Battle_of_the_Frontiers,France,329000,8/7/1914,9/13/1914,Western,38,8657.894737
First_Battle_of_the_Marne,France,228000,9/5/1914,9/12/1914,Western,8,28500
Battle_of_the_Yser,France,15000,10/16/1914,10/31/1914,Western,16,937.5
First_Battle_of_Ypres,France,85000,10/19/1914,11/22/1914,Western,35,2428.571429
Battle_of_Li%C3%A8ge,Germany,5300,8/5/1914,8/16/1914,Western,12,441.6666667
Battle_of_the_Frontiers,Germany,305600,8/7/1914,9/13/1914,Western,38,8042.105263
First_Battle_of_the_Marne,Germany,256000,9/5/1914,9/12/1914,Western,8,32000
First_Battle_of_the_Aisne,Germany,20000,9/13/1914,9/28/1914,Western,16,1250
Battle_of_the_Yser,Germany,76250,10/16/1914,10/31/1914,Western,16,4765.625
First_Battle_of_Ypres,Germany,47700,10/19/1914,11/22/1914,Western,35,1362.857143
Siege_of_Namur_(1914),Germany,900,8/20/1914,8/25/1914,Western,6,150
First_Battle_of_Champagne,France,93400,12/20/1914,3/17/1915,Western,88,1061.363636
First_Battle_of_Champagne,Germany,46100,12/20/1914,3/17/1915,Western,88,523.8636364
First_Battle_of_Champagne,Britain,3000,12/20/1914,3/17/1915,Western,88,34.09090909
Battle_of_Hartmannswillerkopf,France,15000,1/19/1915,12/22/1915,Western,338,44.37869822
Battle_of_Hartmannswillerkopf,Germany,15000,1/19/1915,12/22/1915,Western,338,44.37869822
Battle_of_Neuve_Chapelle,Britain,11200,3/10/1915,3/13/1915,Western,4,2800
Battle_of_Neuve_Chapelle,Germany,10000,3/10/1915,3/13/1915,Western,4,2500
Second_Battle_of_Ypres,Germany,35000,4/21/1915,5/25/1915,Western,35,1000
Second_Battle_of_Ypres,Britain,52500,4/21/1915,5/25/1915,Western,35,1500
Second_Battle_of_Ypres,France,17500,4/21/1915,5/25/1915,Western,35,500
Second_Battle_of_Artois,France,102500,5/9/1915,6/18/1915,Western,41,2500
Second_Battle_of_Artois,Britain,102500,5/9/1915,6/18/1915,Western,41,2500
Second_Battle_of_Artois,Germany,73000,5/9/1915,6/18/1915,Western,41,1780.487805
Battle_of_Loos,Britain,59000,9/25/1915,10/14/1915,Western,20,2950
Battle_of_Loos,Germany,26000,9/25/1915,10/14/1915,Western,20,1300
Second_Battle_of_Champagne,France,145000,9/25/1915,11/6/1915,Western,43,3372.093023
Second_Battle_of_Champagne,Germany,97500,9/25/1915,11/6/1915,Western,43,2267.44186
Third_Battle_of_Artois,Britain,61700,9/25/1915,11/4/1915,Western,41,1504.878049
Third_Battle_of_Artois,Germany,51100,9/25/1915,11/4/1915,Western,41,1246.341463
Third_Battle_of_Artois,France,48000,9/25/1915,11/4/1915,Western,41,1170.731707
Battle_of_Verdun,Germany,357500,2/21/1916,12/20/1916,Western,304,1175.986842
Battle_of_Verdun,France,428500,2/21/1916,12/20/1916,Western,304,1409.539474
Battle_of_the_Somme,Germany,465000,7/1/1916,11/18/1916,Western,141,3297.87234
Battle_of_the_Somme,Britain,420000,7/1/1916,11/18/1916,Western,141,2978.723404
Battle_of_the_Somme,France,286000,7/1/1916,11/18/1916,Western,141,2028.368794
Battle_of_Arras_(1917),Britain,158000,4/9/1917,5/16/1917,Western,38,4157.894737
Battle_of_Arras_(1917),Germany,125000,4/9/1917,5/16/1917,Western,38,3289.473684
Second_Battle_of_the_Aisne,France,187000,4/16/1917,5/9/1917,Western,24,7791.666667
Second_Battle_of_the_Aisne,Germany,163000,4/16/1917,5/9/1917,Western,24,6791.666667
Battle_of_the_Hills,France,21700,4/17/1917,4/20/1917,Western,4,5425
Battle_of_the_Hills,Germany,6000,4/17/1917,4/20/1917,Western,4,1500
Battle_of_Messines_(1917),Germany,25000,6/7/1917,6/14/1917,Western,8,3125
Battle_of_Messines_(1917),Britain,24600,6/7/1917,6/14/1917,Western,8,3075
Battle_of_Passchendaele,Britain,324000,7/31/1917,11/10/1917,Western,103,3145.631068
Battle_of_Passchendaele,Germany,313500,7/31/1917,11/10/1917,Western,103,3043.68932
Battle_of_La_Malmaison,Germany,18000,10/23/1917,10/27/1917,Western,5,3600
Battle_of_La_Malmaison,France,12000,10/23/1917,10/27/1917,Western,5,2400
Battle_of_Cambrai_(1917),Germany,45000,11/20/1917,12/7/1917,Western,18,2500
Battle_of_Cambrai_(1917),Britain,44000,11/20/1917,12/7/1917,Western,18,2444.444444
Spring_Offensive,Germany,688000,3/21/1918,7/18/1918,Western,120,5733.333333
Spring_Offensive,Britain,418000,3/21/1918,7/18/1918,Western,120,3483.333333
Spring_Offensive,France,433000,3/21/1918,7/18/1918,Western,120,3608.333333
Spring_Offensive,Italy,5000,3/21/1918,7/18/1918,Western,120,41.66666667
Spring_Offensive,Portugal,7000,3/21/1918,7/18/1918,Western,120,58.33333333
Hundred_Days_Offensive,France,531000,8/8/1918,11/11/1918,Western,96,5531.25
Hundred_Days_Offensive,Britain,412000,8/8/1918,11/11/1918,Western,96,4291.666667
Hundred_Days_Offensive,America,127000,8/8/1918,11/11/1918,Western,96,1322.916667
Hundred_Days_Offensive,Germany,1172000,8/8/1918,11/11/1918,Western,96,12208.33333
Invasion_of_East_Prussia,Russia,320000,8/17/1914,9/14/1914,Eastern,29,11034.48276
Invasion_of_East_Prussia,Germany,37000,8/17/1914,9/14/1914,Eastern,29,1275.862069
Battle_of_Galicia,Austria,324000,8/23/1914,9/11/1914,Eastern,20,16200
Battle_of_Galicia,Russia,225000,8/23/1914,9/11/1914,Eastern,20,11250
Siege_of_Przemy%C5%9Bl,Austria,196000,9/24/1914,3/22/1915,Eastern,180,1088.888889
Siege_of_Przemy%C5%9Bl,Russia,115000,9/24/1914,3/22/1915,Eastern,180,638.8888889
Battle_of_the_Vistula_River,Russia,145000,9/29/1914,10/31/1914,Eastern,33,4393.939394
Battle_of_the_Vistula_River,Austria,50000,9/29/1914,10/31/1914,Eastern,33,1515.151515
Battle_of_%C5%81%C3%B3d%C5%BA_(1914),Russia,90000,11/11/1914,12/6/1914,Eastern,26,3461.538462
Battle_of_%C5%81%C3%B3d%C5%BA_(1914),Germany,35000,11/11/1914,12/6/1914,Eastern,26,1346.153846
Battle_of_Limanowa,Russia,30000,12/1/1914,12/13/1914,Eastern,13,2307.692308
Battle_of_Limanowa,Germany,12000,12/1/1914,12/13/1914,Eastern,13,923.0769231
Battle_of_Bolim%C3%B3w,Russia,40000,1/31/1915,1/31/1915,Eastern,1,40000
Battle_of_Bolim%C3%B3w,Germany,20000,1/31/1915,1/31/1915,Eastern,1,20000
Second_Battle_of_the_Masurian_Lakes,Russia,2.00E+05,2/7/1915,2/22/1915,Eastern,16,12500
Second_Battle_of_the_Masurian_Lakes,Germany,16200,2/7/1915,2/22/1915,Eastern,16,1012.5
Gorlice%E2%80%93Tarn%C3%B3w_Offensive,Russia,662000,5/2/1915,6/1/1915,Eastern,31,21354.83871
Gorlice%E2%80%93Tarn%C3%B3w_Offensive,Austria,43500,5/2/1915,6/1/1915,Eastern,31,1403.225806
Gorlice%E2%80%93Tarn%C3%B3w_Offensive,Germany,43500,5/2/1915,6/1/1915,Eastern,31,1403.225806
Great_Retreat_(Russian),Russia,1500000,7/1/1915,9/1/1915,Eastern,63,23809.52381
Great_Retreat_(Russian),Germany,2.00E+05,7/1/1915,9/1/1915,Eastern,63,3174.603175
Battle_of_Lake_Naroch,Russia,150000,3/18/1916,4/1/1916,Eastern,15,10000
Battle_of_Lake_Naroch,Germany,20000,3/18/1916,4/1/1916,Eastern,15,1333.333333
Brusilov_Offensive,Austria,780000,6/4/1916,9/20/1916,Eastern,109,7155.963303
Brusilov_Offensive,Germany,780000,6/4/1916,9/20/1916,Eastern,109,7155.963303
Brusilov_Offensive,Russia,1400000,6/4/1916,9/20/1916,Eastern,109,12844.0367
Baranovichi_Offensive,Russia,80000,7/3/1916,7/25/1916,Eastern,23,3478.26087
Baranovichi_Offensive,Germany,13000,7/3/1916,7/25/1916,Eastern,23,565.2173913
Christmas_Battles,Russia,13000,12/23/1916,1/29/1917,Eastern,38,342.1052632
Kerensky_Offensive,Russia,60000,7/1/1917,7/19/1917,Eastern,19,3157.894737
Battle_of_Jugla,Russia,25000,9/1/1917,9/3/1917,Eastern,3,8333.333333
Battle_of_Jugla,Germany,5000,9/1/1917,9/3/1917,Eastern,3,1666.666667
First_Battle_of_the_Isonzo,Austria,10000,6/23/1915,7/7/1915,Italian,15,666.6666667
First_Battle_of_the_Isonzo,Italy,15000,6/23/1915,7/7/1915,Italian,15,1000
Second_Battle_of_the_Isonzo,Austria,46600,7/18/1915,8/3/1915,Italian,17,2741.176471
Second_Battle_of_the_Isonzo,Italy,41800,7/18/1915,8/3/1915,Italian,17,2458.823529
Third_Battle_of_the_Isonzo,Austria,40400,10/18/1915,11/3/1915,Italian,17,2376.470588
Third_Battle_of_the_Isonzo,Italy,67100,10/18/1915,11/3/1915,Italian,17,3947.058824
Fourth_Battle_of_the_Isonzo,Austria,32100,11/10/1915,12/2/1915,Italian,23,1395.652174
Fourth_Battle_of_the_Isonzo,Italy,49500,11/10/1915,12/2/1915,Italian,23,2152.173913
Fifth_Battle_of_the_Isonzo,Austria,2000,3/9/1916,3/15/1916,Italian,7,285.7142857
Fifth_Battle_of_the_Isonzo,Italy,2000,3/9/1916,3/15/1916,Italian,7,285.7142857
Battle_of_Asiago,Austria,1.00E+05,5/15/1916,6/10/1916,Italian,27,3703.703704
Battle_of_Asiago,Italy,140000,5/15/1916,6/10/1916,Italian,27,5185.185185
Battle_of_Gorizia,Austria,41900,8/6/1916,8/17/1916,Italian,12,3491.666667
Battle_of_Gorizia,Italy,51000,8/6/1916,8/17/1916,Italian,12,4250
Seventh_Battle_of_the_Isonzo,Austria,15000,9/14/1916,9/18/1916,Italian,5,3000
Seventh_Battle_of_the_Isonzo,Italy,17000,9/14/1916,9/18/1916,Italian,5,3400
Eighth_Battle_of_the_Isonzo,Austria,25000,10/10/1916,10/12/1916,Italian,3,8333.333333
Eighth_Battle_of_the_Isonzo,Italy,25000,10/10/1916,10/12/1916,Italian,3,8333.333333
Ninth_Battle_of_the_Isonzo,Austria,33000,10/31/1916,11/4/1916,Italian,5,6600
Ninth_Battle_of_the_Isonzo,Italy,39000,10/31/1916,11/4/1916,Italian,5,7800
Tenth_Battle_of_the_Isonzo,Austria,75000,5/10/1917,6/8/1917,Italian,30,2500
Tenth_Battle_of_the_Isonzo,Italy,150000,5/10/1917,6/8/1917,Italian,30,5000
Battle_of_Mount_Ortigara,Austria,9000,6/10/1917,6/25/1917,Italian,16,562.5
