city,lat,lng,pop
Funchal,32.64998252,-16.88003972,100000
Santa Cruz de Tenerife,28.46997927,-16.25000065,200000
Las Palmas,28.09997601,-15.42999902,200000
Lisbon,38.72272288,-9.144866305,350919
Galway,53.272393,-9.048812298,50000
Setubal,38.52995953,-8.900010011,100000
Vigo,42.22001853,-8.729994549,200000
Aveiro,40.64100311,-8.650997534,50000
Limerick,52.664704,-8.623050172,75000
Porto,41.15000633,-8.620001263,200000
Santiago de Compostela,42.88289797,-8.541091351,75000
Cork,51.89860089,-8.49577112,100000
Braga,41.55499453,-8.421331219,200000
La Coruna,43.32997662,-8.419987632,200000
Coimbra,40.20037437,-8.41668034,75000
Evora,38.55999611,-7.905995561,50000
Ourense,42.32996014,-7.869995363,100000
Londonderry,55.00037539,-7.333283937,75000
Badajoz,38.8804291,-6.96997278,100000
Huelva,37.25037355,-6.929949383,100000
Merida,38.91200402,-6.337997512,50000
Dublin,53.33306114,-6.248905682,290638
Cadiz,36.53499086,-6.225005332,100000
Seville,37.40501528,-5.980007366,200000
Belfast,54.60001223,-5.960034425,338501
Oviedo,43.35049217,-5.829990683,200000
Salamanca,40.97040489,-5.670000449,100000
Gijon,43.53001609,-5.670000449,200000
Leon,42.57997072,-5.570006553,100000
Gibraltar,36.13243495,-5.37807483,100000
Ceuta,35.88898378,-5.30699935,75000
Marbella,36.51661989,-4.88333012,100000
Cordoba,37.87999921,-4.770003704,200000
Greenock,55.93329002,-4.750030763,50000
Valladolid,41.65000165,-4.750030763,200000
Ayr,55.4503996,-4.61667973,50000
Brest,48.39044293,-4.49500757,100000
Malaga,36.7204059,-4.419999228,200000
Glasgow,55.87440472,-4.250707236,750664
Plymouth,50.38538576,-4.159989259,200000
Toledo,39.86703554,-4.016716351,50000
Swansea,51.6299868,-3.950002077,200000
Santander,43.3804645,-3.799985394,100000
Madrid,40.40002626,-3.683351686,540109
Burgos,42.35039817,-3.67996688,100000
Granada,37.16497825,-3.585011435,200000
Exeter,50.70040529,-3.529950197,100000
Lorient,47.75040448,-3.366575156,50000
Cardiff,51.49999473,-3.22500757,200000
Edinburgh,55.94832786,-3.219090618,200000
Guadalajara,40.63370709,-3.166587363,50000
Blackpool,53.83039512,-3.050005332,200000
Dundee,56.47038902,-3.000008384,100000
Melilla,35.30000165,-2.950011435,100000
Carlisle,54.87999514,-2.929986818,50000
Bilbao,43.24998151,-2.929986818,200000
Chester,53.20002016,-2.919987428,75000
Liverpool,53.41600181,-2.917997886,679204
St.-Brieuc,48.51666262,-2.783303265,50000
Vitoria,42.84998008,-2.669976849,100000
Bristol,51.44999778,-2.583315472,324745
Logrono,42.47036501,-2.429991497,100000
Almeria,36.83034751,-2.429991497,100000
Bath,51.3837486,-2.350022218,75000
Manchester,53.50041526,-2.247987103,539893
Stoke,53.00036826,-2.180006756,200000
Aberdeen,57.17039797,-2.079987021,100000
San Sebastian,43.32039064,-1.979993125,200000
Birmingham,52.47497398,-1.919996787,517618
Bournemouth,50.72999005,-1.900049684,200000
Albacete,39.00034426,-1.869999839,100000
Bradford,53.80003522,-1.749981325,200000
Lorca,37.68856386,-1.698511598,50000
Rennes,48.10002138,-1.670012046,200000
Cherbourg,49.65039187,-1.649987428,50000
Pamplona,42.82000775,-1.649987428,200000
Newcastle,55.00037539,-1.59999048,200000
Nantes,47.21038576,-1.590016929,200000
Leeds,53.83000755,-1.580017539,200000
Biarritz,43.47327537,-1.561594891,75000
Coventry,52.42040367,-1.499996583,200000
Sheffield,53.36667666,-1.499996583,200000
Southampton,50.90003135,-1.399976849,200000
Sunderland,54.92001853,-1.380029746,200000
Oxford,51.7704175,-1.249986004,100000
Middlesbrough,54.58037518,-1.230013063,200000
Scarborough,54.2831,-0.3998,200000
Nottingham,52.97034426,-1.170016725,200000
La Rochelle,46.16665102,-1.149992108,75000
Leicester,52.62997744,-1.133248943,200000
Murcia,37.9799931,-1.12996749,200000
York,53.97038658,-1.080022218,100000
