name	link	position	date	lat	lng
Assassination of Archduke Ferdinand	http://www.history.com/this-day-in-history/archduke-franz-ferdinand-assassinated	3	6/28/1914	43.8563	18.4131
Serbia receives ultimatum	http://www.history.com/this-day-in-history/austria-hungary-issues-ultimatum-to-serbia	3	7/23/1914	44.795936	20.446212
Austria-Hungary declares war on Serbia	http://www.history.com/this-day-in-history/austria-hungary-declares-war-on-serbia	3	7/28/1914	48.2082	16.3738
Germany declares war on Russia	http://www.history.com/this-day-in-history/first-world-war-erupts-in-europe	2	8/1/1914	52.52	13.405
Germany declares war on France	http://www.history.com/this-day-in-history/germany-and-france-declare-war-on-each-other	1	8/3/1914	52.52	13.405
German troops enter Belgium; Britain declares war	http://www.telegraph.co.uk/history/world-war-one/11006820/World-War-One-how-the-events-of-August-4-1914-unfolded.html	0	8/4/1914	51.510363	-0.126367
Montenegro declares war on Austria-Hungary	https://encyclopedia.1914-1918-online.net/article/montenegro	3	8/5/1914	42.434007	19.254503
Big Bertha levels Liege Forts	https://www.britannica.com/technology/Big-Bertha-weapon	1	8/12/1914	50.632895	5.579175
Great Retreat by the Allies towards the River Marne	http://greatwarproject.org/2014/08/24/the-great-retreat/	1	8/24/1914		
The Royal Navy prevails at Heligoland Bight	http://www.history.com/this-day-in-history/battle-of-heligoland-bight	0	8/28/1914	54.166667	8.066678
St. Petersburg renamed Petrograd	http://history.info/on-this-day/1914-why-was-st-petersburg-renamed-petrograd/	2	9/1/1914	59.935041	30.327781
Germans abandon Schlieffen Plan after loss at the Marne	https://www.britannica.com/event/Schlieffen-Plan	1	9/12/1914		
Race to the Sea begins	http://mentalfloss.com/article/59092/wwi-centennial-race-sea-begins	1	9/24/1914		
French pilot scores first aerial combat victory	http://www.airspacemag.com/daily-planet/first-aerial-combat-victory-180952933/	1	10/5/1914	49.3	3.8
Germans capture Antwerp	http://www.history.com/this-day-in-history/antwerp-under-siege	0	10/10/1914	51.219463	4.4028
