name	title	link	start	end	is_allies
Albert I	King of Belgium	http://www.firstworldwar.com/bio/alberti.htm	8/4/1914	1/1/1920	1
Aleksei Brusilov	Russian general	http://www.firstworldwar.com/bio/brusilov.htm	3/29/1916	7/19/1917	1
Alexander Kerensky	Russian leader	http://www.firstworldwar.com/bio/kerenski.htm	3/8/1917	11/6/1917	1
Alexandru Averescu	Romanian general	http://www.firstworldwar.com/bio/averescu.htm	8/27/1916	12/9/1917	1
Alfred von Tirpitz	German admiral	http://www.firstworldwar.com/bio/tirpitz.htm	8/5/1914	3/16/1916	0
Aristide Briand	French prime minister	http://www.firstworldwar.com/bio/briand.htm	10/29/1915	3/20/1917	1
Armando Diaz	Italian general	http://www.firstworldwar.com/bio/diaz.htm	11/9/1917	11/3/1918	1
Arthur Zimmermann	German foreign minister	http://www.firstworldwar.com/bio/zimmermann.htm	1/16/1917	8/6/1917	0
Charles I	Emperor of Austria-Hungary	http://www.firstworldwar.com/bio/karl.htm	11/21/1916	11/11/1918	0
Conrad von Hotzendorf	Austro-Hungarian general	http://www.firstworldwar.com/bio/conrad.htm	7/28/1914	3/1/1917	0
David Lloyd George	British war secretary	http://www.firstworldwar.com/bio/lloydgeorge.htm	6/6/1916	12/5/1916	1
David Lloyd George	British prime minister	http://www.firstworldwar.com/bio/lloydgeorge.htm	12/6/1916	1/1/1920	1
Douglas Haig	British general	http://www.firstworldwar.com/bio/haig.htm	9/18/1915	11/11/1918	1
Enver Pasha	Ottoman war minister	http://www.firstworldwar.com/bio/enver.htm	10/29/1914	10/13/1918	0
Erich Ludendorff	German general	http://www.firstworldwar.com/bio/ludendorff.htm	8/26/1914	10/27/1918	0
Erich von Falkenhayn	German general	http://www.firstworldwar.com/bio/falkenhayn.htm	9/14/1914	8/29/1916	0
Ferdinand Foch	French general	http://www.firstworldwar.com/bio/foch.htm	3/26/1918	11/11/1918	1
Franz Ferdinand	Austrian archduke	http://www.firstworldwar.com/bio/ferdinand.htm	1/1/1914	6/28/1914	0
Franz Joseph I	Emperor of Austria-Hungary	http://www.firstworldwar.com/bio/franzjosef.htm	1/1/1914	11/20/1916	0
Friedrich Ebert	German president	http://www.firstworldwar.com/bio/ebert.htm	2/11/1919	1/1/1920	0
Gavrilo Princip	Serbian nationalist	http://www.firstworldwar.com/bio/princip.htm	6/28/1914	7/5/1914	1
George V	King of the United Kingdom	http://www.firstworldwar.com/bio/georgev.htm	1/1/1914	1/1/1920	1
Georges Clemencaeu	French prime minister	http://www.firstworldwar.com/bio/clemenceau.htm	11/16/1917	1/1/1920	1
H.H. Asquith	British prime minister	http://www.firstworldwar.com/bio/asquith.htm	1/1/1914	12/5/1916	1
Helmuth von Moltke	German general	http://www.firstworldwar.com/bio/moltke.htm	8/1/1914	9/13/1914	0
Horatio Kitchener	British war secretary	http://www.firstworldwar.com/bio/kitchener.htm	8/5/1914	6/5/1916	1
John French	British general	http://www.firstworldwar.com/bio/french.htm	8/14/1914	9/17/1915	1
John Jellicoe	British admiral	http://www.firstworldwar.com/bio/jellicoe.htm	8/4/1914	12/20/1917	1
John Pershing	U.S. general	http://www.firstworldwar.com/bio/pershing.htm	5/10/1917	11/11/1918	1
Joseph Joffre	French general	http://www.firstworldwar.com/bio/joffre.htm	8/3/1914	12/2/1916	1
Leopold Berchtold	Austro-Hungarian diplomat	http://www.firstworldwar.com/bio/berchtold.htm	6/29/1914	7/28/1914	0
Luigi Cadorna	Italian general	http://www.firstworldwar.com/bio/cadorna.htm	5/23/1915	11/8/1917	1
Mustafa Kemal	Turkish statesman	http://www.firstworldwar.com/bio/kemal.htm	6/29/1919	1/1/1920	0
Nicholas II	Emperor of Russia	http://www.firstworldwar.com/bio/nicholasii.htm	1/1/1914	3/15/1917	1
Nikola Pasic	Serbian prime minister	http://www.firstworldwar.com/bio/pasic.htm	6/29/1914	12/1/1918	1
Nikola Zhekov	Bulgarian general	http://www.firstworldwar.com/bio/zhekov.htm	10/14/1915	9/8/1918	0
Nikolai Nikolaevich	Russian general	http://www.firstworldwar.com/bio/nikolai.htm	8/1/1914	8/20/1915	1
Paul von Hindenburg	German general	http://www.firstworldwar.com/bio/hindenburg.htm	8/26/1914	11/11/1918	0
Paul von Rennenkampf	Russian general	http://www.firstworldwar.com/bio/rennenkampf.htm	8/1/1914	12/6/1914	1
Philippe Petain	French general	http://www.firstworldwar.com/bio/petain.htm	5/17/1917	11/11/1918	1
Radomir Putnik	Serbian general	http://www.firstworldwar.com/bio/putnik.htm	8/15/1914	1/1/1916	1
